SectionName,BuildingName,CampusLocation
ACCT-201-01,SWAN,MC
ACCT-201-02,SWAN,MC
ACCT-202-01,PLAS,MC
ACCT-202-03,SWAN,MC
ACCT-202-04,SWAN,MC
ACCT-202-05,SWAN,MC
ACCT-202-06,SWAN,MC
ACCT-202-07,SWAN,MC
ACCT-202H-01,SWAN,MC
ACCT-306-01,PLAS,MC
ACCT-308-01,SWAN,MC
ACCT-308-02,SWAN,MC
ACCT-362-01,SWAN,MC
ACCT-362-02,SWAN,MC
ACCT-404-01,SWAN,MC
ACCT-404-02,SWAN,MC
ACCT-499-55,,MC
ADED-306-01,PLAS,MC
ADED-330-01,PLAS,MC
ADED-333-01,,OL
ADED-337-01,PLAS,MC
ADED-338-01,PLAS,MC
ADED-340-01,,OL
ADED-354-55,,MC
ADED-360-01,PLAS,MC
ADED-406-01,PLAS,MC
ADED-495-01,,MC
ADED-496-01,,MC
ADED-528-72L01,,OL
ADED-540-F1L01,,OL
ADED-588-F1L01,,OL
ARBC-102-01,PLAS,MC
ARBC-202-01,PLAS,MC
ARP-100-01,PLAS,
ARP-100-02,PLAS,
ARP-100-03,PLAS,
ARTH-102-01,,OL
ARTH-322-01,,OL
BI-300A-01,,MC
BI-300B-01,,MC
BI-301A-01,,MC
BI-301B-01,,MC
BI-302A-01,,MC
BI-302B-01,,MC
BI-303A-01,,MC
BI-303B-01,,MC
BI-309A-01,,MC
BIF-401-01,,MC
BIO-101-01,WALS,MC
BIO-101-02,WALS,MC
BIO-101-03,WALS,MC
BIO-106-03,WALS,MC
BIO-106-04,WALS,MC
BIO-112-01,DELA,MC
BIO-112-02,DELA,MC
BIO-212-01,WALS,MC
BIO-292-01,DELA,MC
BIO-310-01,WALS,MC
BIO-319-01,,MC
BIO-319-02,,MC
BIO-319-03,,MC
BIO-332-01,DELA,MC
BIO-350-01,DELA,MC
BIO-399-01,DELA,MC
BIO-419-01,,MC
BIO-419-02,,MC
BIO-419-03,,MC
BIO-457-01,WALS,MC
BIO-460-01,WALS,MC
BIO-466-01,WALS,MC
BIO-472-01,WALS,MC
BIOL-101-01,WALS,MC
BIOL-101-02,WALS,MC
BIOL-101-03,WALS,MC
BIOL-101-04,WALS,MC
BIOL-101-05,WALS,MC
BIOL-101-06,WALS,MC
BIOL-106-01,DELA,MC
BIOL-106-02,DELA,MC
BIOL-106-03,DELA,MC
BIOL-106-04,DELA,MC
BIOL-106-05,DELA,MC
BIOL-212-01,DELA,MC
BIOL-212-02,DELA,MC
BIOL-212-03,DELA,MC
BIOL-293-01,WALS,MC
BIOL-293-02,WALS,MC
BIOL-310-01,WALS,MC
BIOL-332-01,DELA,MC
BIOL-332-02,DELA,MC
BIOL-350-01,,MC
BIOL-466-01,WALS,MC
BIOL-472-01,WALS,MC
BIS-220-01,WALS,MC
BIS-220-02,WALS,MC
BIS-220-03,WALS,MC
BIS-220-04,WALS,MC
BIS-310-01,SWAN,MC
BIS-310-02,SWAN,MC
BIS-310-03,SWAN,MC
BIS-420-01,WALS,MC
BLX-210-01,PLAS,MC
BLX-210-02,PLAS,MC
BLX-210-03,PLAS,MC
BNS-401-01,,MC
BONA-101-01,,OL
BSM-200-01,,MC
BSM-201-01,,OL
BSM-300-01,,MC
BSM-301-01,SWAN,MC
BSM-309-01,,OL
BSM-309-02,,OL
BSM-329-01,SWAN,MC
BSM-329-02,SWAN,MC
BSM-400-01,,MC
BSM-401-01,SWAN,MC
BUS-299FE-01,SWAN,MC
CE-500-72L01,,SBUOL
CE-500-72L02,,SBUOL
CE-500-72L03,,SBUOL
CE-501-71L01,,SBUOL
CE-510-71L01,,SBUOL
CE-510-71L02,,SBUOL
CE-510-71L03,,SBUOL
CE-511-72L01,,SBUOL
CE-511-72L02,,SBUOL
CE-530-71L01,,SBUOL
CE-530-71L02,,SBUOL
CE-540-72L01,,SBUOL
CE-540-72L02,,SBUOL
CE-550-71L01,,SBUOL
CE-550-71L02,,SBUOL
CE-560-71L01,,SBUOL
CE-560-71L02,,SBUOL
CE-570-71L01,,SBUOL
CE-570-71L02,,SBUOL
CE-609-71L01,,SBUOL
CE-610-F1L01,,SBUOL
CE-610-F1L02,,SBUOL
CE-610-F1L03,,SBUOL
CE-610-F1L04,,SBUOL
CE-620A-F1L01,,SBUOL
CE-620B-F1L01,,SBUOL
CE-620B-F1L02,,SBUOL
CE-620B-F1L03,,SBUOL
CE-625A-F1L01,,SBUOL
CE-625A-F1L02,,SBUOL
CE-625B-F1L01,,SBUOL
CE-625B-F1L02,,SBUOL
CE-628-72L01,,SBUOL
CE-629-72L01,,SBUOL
CE-632-71L01,,SBUOL
CE-633-71L01,,SBUOL
CE-634-72L01,,SBUOL
CE-636-71L01,,SBUOL
CE-636-72L01,,SBUOL
CE-637-72L01,,SBUOL
CE-638-72L01,,SBUOL
CE-638-72L02,,SBUOL
CE-642-71L01,,SBUOL
CE-649-72L01,,SBUOL
CE-650-72L01,,SBUOL
CE-COMP-F1L01,,SBUOL
CE-COMP-F1L03,,SBUOL
CE-COMP-F1L04,,SBUOL
CE-COMP-F1L05,,SBUOL
CE-COMP-F1L06,,SBUOL
CE-COMP-F1L07,,SBUOL
CE-COMP-F1L08,,SBUOL
