"Section Name","Short Title","Min Cred","Max Cred","BLDG","ROOM","DAYS","Start Time","End Time","Faculty Name","Avail Status","Prerequisites","Coreq","Notes","Location","Seats Available","Seat Capacity"
"ACCT-201-01","INTRO TO FINANCIAL ACCT","3.00000","0.00000","SWANSWAN","203203","MWFM","9:30 AM,10:35 AM","10:20 AM,1:05 PM","McLanahan, Michael","Open","","","","MC","1","20"
"ACCT-201-02","INTRO TO FINANCIAL ACCT","3.00000","0.00000","SWANSWAN","203203","MWFS","11:30 AM,10:35 AM","12:20 PM,1:05 PM","McLanahan, Michael","Clsd","","","","MC","0","20"
"ACCT-202-01","INTRO TO MANAGERIAL ACCT","3.00000","0.00000","PLASPLAS","014014","TTHT","10:00 AM,1:10 PM","11:15 AM,3:40 PM","Bysiek, Edward","Clsd","ACCT 201","","","MC","0","30"
"ACCT-202-03","INTRO TO MANAGERIAL ACCT","3.00000","0.00000","SWANSWAN","209209","MWFT","8:30 AM,10:35 AM","9:20 AM,1:05 PM","Schachner, Samantha","Open","ACCT 201","","","MC","1","30"
"ACCT-202-04","INTRO TO MANAGERIAL ACCT","3.00000","0.00000","SWANSWAN","101101","MWFW","10:30 AM,8:00 AM","11:20 AM,10:30 AM","Schachner, Samantha","Open","ACCT 201","","","MC","4","30"
"ACCT-202-05","INTRO TO MANAGERIAL ACCT","3.00000","0.00000","SWANSWAN","209209","TTHS","8:30 AM,1:10 PM","9:45 AM,3:40 PM","McLanahan, Michael","Clsd","ACCT 201","","","MC","-1","30"
"ACCT-202-06","INTRO TO MANAGERIAL ACCT","3.00000","0.00000","SWANSWAN","103103","TTHM","11:30 AM,8:00 AM","12:45 PM,10:30 AM","Rankin, Kathleen","Open","ACCT 201","","","MC","5","30"
"ACCT-202-07","INTRO TO MANAGERIAL ACCT","3.00000","0.00000","SWANSWAN","103103","TTHS","2:30 PM,8:00 AM","3:45 PM,10:30 AM","McLanahan, Michael","Clsd","ACCT 201","","crosslisted with ACCT 202H 01","MC","-3","15"
"ACCT-202H-01","INTRO: MANAGERIAL ACCTNG HON.","3.00000","0.00000","SWANSWAN","103103","TTHS","2:30 PM,8:00 AM","3:45 PM,10:30 AM","McLanahan, Michael","Open","","","crosslisted with ACCT 202 07","MC","5","10"
"ACCT-306-01","GOVERNMENTAL & NONPROFIT ACCT","3.00000","0.00000","PLASPLAS","014014","TTHS","8:30 AM,1:10 PM","9:45 AM,3:40 PM","Bysiek, Edward","Open","","","","MC","3","30"
"ACCT-308-01","ADV MANAGERIAL ACCOUNTING","3.00000","0.00000","SWANSWAN","101101","TTHT","1:00 PM,8:00 AM","2:15 PM,10:30 AM","Schachner, Samantha","Clsd","ACCT 202","","","MC","-2","25"
"ACCT-308-02","ADV MANAGERIAL ACCOUNTING","3.00000","0.00000","SWANSWAN","101101","TTHS","2:30 PM,8:00 AM","3:45 PM,10:30 AM","Schachner, Samantha","Open","ACCT 202","","","MC","2","25"
"ACCT-362-01","INTERM FIN REPORT II","3.00000","0.00000","SWANSWAN","101101","MWM","2:30 PM,1:10 PM","3:45 PM,3:40 PM","Rankin, Kathleen","Open","ACCT 305 AND ACCT 361","","","MC","2","25"
"ACCT-362-02","INTERM FIN REPORT II","3.00000","0.00000","SWANSWAN","203203","TTHS","2:30 PM,8:00 AM","3:45 PM,10:30 AM","Rankin, Kathleen","Open","ACCT 305 AND ACCT 361","","","MC","10","25"
"ACCT-404-01","ADVANCED TAXES","3.00000","0.00000","SWANSWAN","205205","TTHT","10:00 AM,1:10 PM","11:15 AM,3:40 PM","King, Darwin","Open","ACCT 310","","","MC","3","20"
"ACCT-404-02","ADVANCED TAXES","3.00000","0.00000","SWANSWAN","205205","TTHM","11:30 AM,8:00 AM","12:45 PM,10:30 AM","King, Darwin","Open","ACCT 310","","","MC","8","20"
"ACCT-499-55","INDEPENDENT STUDY","1.00000","3.00000","","","","","","Schachner, Samantha","Clsd","","","","MC","-1","0"
"ADED-306-01","MANAGING INST/BEHAV SEC EDUC","3.00000","0.00000","PLASPLAS","007007","MW","4:00 PM,10:35 AM","6:30 PM,1:05 PM","Schrems, Tracy","Open","","","","MC","8","25"
"ADED-330-01","METH/MOD/MGMT OF INSTRUCTION","2.00000","0.00000","PLASPLAS","306306","MWW","10:30 AM,8:00 AM","11:29 AM,10:30 AM","Chimbel, Bethanne","Open","","","","MC","3","20"
"ADED-333-01","SECONDARY ENGLISH METHODS","1.00000","0.00000","","","T","5:00 PM,","6:00 PM,","Tederous, Meaghan","Open","","","","OL","5","12"
"ADED-337-01","SECONDARY L.O.T.E. METHODS","1.00000","0.00000","PLAS","121","T","5:00 PM,","6:00 PM,","Cashing, Elizabeth","Open","","","","MC","8","10"
"ADED-338-01","SECONDARY SOC STUDIES METHODS","1.00000","0.00000","PLAS","005","T","5:00 PM,","6:00 PM,","Conroy, Michael","Open","","","","MC","9","15"
"ADED-340-01","SECONDARY MATH METHODS","1.00000","0.00000","","","T","5:00 PM,","6:00 PM,","Yeager, Tamra","Open","","","","OL","8","10"
